r2_mean,r2_std,mae_mean,mae_std,n_train,n_test,probe_type,property,t,t_convention,input_variant
0.45848682665382584,0.036779602164945115,0.5597416835796458,0.012802023778297903,9459,2364,linear,canya,0.5,"code (0=noise, 1=clean)",latent_plus_backbone
0.4456396222114563,0.03494609284077297,0.567612886428833,0.013724277099615656,9459,2364,mlp,canya,0.5,"code (0=noise, 1=clean)",latent_plus_backbone
0.3621997833251953,0.03378442999412808,0.6094472527503967,0.017720760006774736,9459,2364,knn,canya,0.5,"code (0=noise, 1=clean)",latent_plus_backbone
0.6945734421291508,0.04197605458654487,0.4187010732202781,0.013998747253487287,9459,2364,linear,canya,0.8,"code (0=noise, 1=clean)",latent_only
0.6738780736923218,0.045428968344399585,0.43076338768005373,0.011578637307347366,9459,2364,mlp,canya,0.8,"code (0=noise, 1=clean)",latent_only
0.6068324089050293,0.049707166512515374,0.47101999521255494,0.009003018772376596,9459,2364,knn,canya,0.8,"code (0=noise, 1=clean)",latent_only
0.6935171873773724,0.042205938239746936,0.41946930856860964,0.014253751716091013,9459,2364,linear,canya,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
0.6206360816955566,0.04819983582007128,0.46612333655357363,0.012246256243279395,9459,2364,mlp,canya,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
0.5631362438201905,0.04984301030333392,0.49550300240516665,0.010059251236297726,9459,2364,knn,canya,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
0.7207928947440632,0.037875892361168624,0.4006645756299145,0.016723087494065567,1182,295,linear,canya,1.0,"code (0=noise, 1=clean)",latent_only
0.7053689122200012,0.037622458341335645,0.41178551912307737,0.013101479089100932,1182,295,mlp,canya,1.0,"code (0=noise, 1=clean)",latent_only
0.6609855175018311,0.030480557115281588,0.43710134029388426,0.004789822097337614,1182,295,knn,canya,1.0,"code (0=noise, 1=clean)",latent_only
0.7196308948299168,0.03828443276193151,0.40142531125288833,0.016877583936413063,1182,295,linear,canya,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
0.6833047151565552,0.04641326299388191,0.42380982637405396,0.017744230056955527,1182,295,mlp,canya,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
0.6451633095741272,0.023892240351734744,0.4501109063625336,0.005464289502522934,1182,295,knn,canya,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
0.17933458190315718,0.016531016787936014,0.680869481251723,0.031196913848227262,9459,2364,linear,swi,0.3,"code (0=noise, 1=clean)",latent_only
0.17142724990844727,0.017665492978332097,0.6843910336494445,0.030703528398182228,9459,2364,mlp,swi,0.3,"code (0=noise, 1=clean)",latent_only
0.09471645355224609,0.024860404118690265,0.7184670686721801,0.03336994707467398,9459,2364,knn,swi,0.3,"code (0=noise, 1=clean)",latent_only
0.17846470592126398,0.018259790960380017,0.6806335291002403,0.03085063703502797,9459,2364,linear,swi,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.1599388003349304,0.020634212512649054,0.6901933312416076,0.02950180341651954,9459,2364,mlp,swi,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.07605248689651489,0.020672869725598578,0.7251563787460327,0.03259139925012483,9459,2364,knn,swi,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.4549617787433857,0.026901623596651866,0.559195686371088,0.022068831057726057,9459,2364,linear,swi,0.5,"code (0=noise, 1=clean)",latent_only
0.4483534812927246,0.02742804225098024,0.5617174506187439,0.02189312158842692,9459,2364,mlp,swi,0.5,"code (0=noise, 1=clean)",latent_only
0.3786921501159668,0.02818060488312536,0.594306230545044,0.029727829431827415,9459,2364,knn,swi,0.5,"code (0=noise, 1=clean)",latent_only
