arm,L,sample_idx,ca_esmfold,bb3o_esmfold,wall_s
hybrid,100,35,1.1339988708496094,1.1339988708496094,20.997300624847412
hybrid,200,0,13.8345365524292,13.8345365524292,60.06186127662659
hybrid,200,1,18.433256149291992,18.433256149291992,62.35344624519348
hybrid,200,2,15.853055953979492,15.853055953979492,62.07851552963257
hybrid,200,3,17.03470230102539,17.03470230102539,61.33452868461609
hybrid,200,4,19.5760555267334,19.5760555267334,59.59434747695923
hybrid,200,5,15.730162620544434,15.730162620544434,60.59583640098572
hybrid,200,6,13.18271255493164,13.18271255493164,61.530972957611084
hybrid,200,7,7.863048553466797,7.863048553466797,59.974557399749756
hybrid,200,8,13.686198234558105,13.686198234558105,61.846452474594116
hybrid,200,9,14.640786170959473,14.640786170959473,59.29557228088379
hybrid,200,10,17.52560806274414,17.52560806274414,61.1014621257782
hybrid,200,11,17.91854476928711,17.91854476928711,60.43136739730835
hybrid,200,12,17.177759170532227,17.177759170532227,61.08677840232849
hybrid,200,13,14.753358840942383,14.753358840942383,61.429996490478516
hybrid,200,14,16.40110969543457,16.40110969543457,60.24941301345825
hybrid,200,15,14.364912986755371,14.364912986755371,62.137171268463135
hybrid,200,16,16.04144859313965,16.04144859313965,60.19817137718201
hybrid,200,17,9.692521095275879,9.692521095275879,58.55234718322754
hybrid,200,18,15.359526634216309,15.359526634216309,60.53233480453491
hybrid,200,19,16.157209396362305,16.157209396362305,61.825703859329224
hybrid,200,20,14.173819541931152,14.173819541931152,61.83890199661255
hybrid,200,21,17.508663177490234,17.508663177490234,57.96297359466553
hybrid,200,22,15.76050853729248,15.76050853729248,60.00355577468872
hybrid,200,23,16.14449119567871,16.14449119567871,59.60082793235779
hybrid,200,24,16.822851181030273,16.822851181030273,60.10144019126892
hybrid,200,25,10.915247917175293,10.915247917175293,60.97716784477234
hybrid,200,26,8.616440773010254,8.616440773010254,59.1999135017395
hybrid,200,27,17.67110824584961,17.67110824584961,59.34991979598999
hybrid,200,28,16.18938446044922,16.18938446044922,61.5583233833313
hybrid,200,29,15.48876667022705,15.48876667022705,61.02836751937866
hybrid,200,30,16.756362915039062,16.756362915039062,62.32844138145447
hybrid,200,31,16.90138816833496,16.90138816833496,58.881742000579834
hybrid,200,32,13.923368453979492,13.923368453979492,60.69593691825867
hybrid,200,33,18.287338256835938,18.287338256835938,59.580461740493774
hybrid,200,34,16.591171264648438,16.591171264648438,59.29702854156494
hybrid,200,35,15.258601188659668,15.258601188659668,61.5773823261261
