direction,w,length,seed,protein_id,predictor,real,gap
tango_min,8,500,43,s43_n500,764.945068359375,546.663,218.282068359375
tango_min,8,300,44,s44_n300,766.4967041015625,686.604,79.89270410156246
tango_min,8,400,44,s44_n400,1575.5966796875,1429.34,146.25667968750008
tango_min,8,500,44,s44_n500,1357.664306640625,1556.38,-198.7156933593751
tango_min,8,300,45,s45_n300,638.4329223632812,545.883,92.54992236328121
tango_min,8,400,45,s45_n400,774.3031005859375,813.138,-38.834899414062534
tango_min,8,500,45,s45_n500,999.7020263671875,749.152,250.55002636718746
tango_min,8,300,46,s46_n300,721.32958984375,473.201,248.12858984374998
tango_min,8,400,46,s46_n400,1386.321044921875,1836.27,-449.948955078125
tango_min,8,500,46,s46_n500,894.4458618164062,559.733,334.7128618164063
tango_min,8,300,47,s47_n300,554.5156860351562,524.912,29.603686035156215
tango_min,8,400,47,s47_n400,495.17376708984375,484.165,11.00876708984373
tango_min,8,500,47,s47_n500,1361.073974609375,1140.88,220.1939746093749
tango_min,8,300,48,s48_n300,673.4888916015625,522.777,150.71189160156246
tango_min,8,400,48,s48_n400,1008.7537231445312,1021.04,-12.286276855468714
tango_min,8,500,48,s48_n500,1245.1605224609375,1431.69,-186.52947753906255
tango_min,8,300,49,s49_n300,865.4515991210938,894.748,-29.296400878906297
tango_min,8,400,49,s49_n400,672.806396484375,643.445,29.36139648437495
tango_min,8,500,49,s49_n500,1110.453369140625,975.583,134.87036914062503
tango_min,8,300,50,s50_n300,633.399169921875,585.598,47.801169921875044
tango_min,8,400,50,s50_n400,872.5645751953125,838.254,34.31057519531248
tango_min,8,500,50,s50_n500,834.9872436523438,949.704,-114.7167563476562
tango_min,8,300,51,s51_n300,585.634765625,485.662,99.97276562500002
tango_min,8,400,51,s51_n400,1014.5096435546875,853.006,161.50364355468753
tango_min,8,500,51,s51_n500,1423.6510009765625,1625.51,-201.8589990234375
tango_min,8,300,52,s52_n300,613.421142578125,530.065,83.35614257812495
tango_min,8,400,52,s52_n400,1015.8590087890625,943.356,72.5030087890625
tango_min,8,500,52,s52_n500,1405.9163818359375,871.076,534.8403818359375
tango_min,8,300,53,s53_n300,709.4126586914062,474.955,234.45765869140627
tango_min,8,400,53,s53_n400,1006.7623901367188,811.117,195.6453901367188
tango_min,8,500,53,s53_n500,1417.877197265625,1248.23,169.64719726562498
tango_min,8,300,54,s54_n300,973.2223510742188,1026.82,-53.597648925781186
tango_min,8,400,54,s54_n400,748.0368041992188,850.711,-102.67419580078126
tango_min,8,500,54,s54_n500,1519.55859375,1555.71,-36.151406250000036
tango_min,8,300,55,s55_n300,580.476318359375,519.514,60.96231835937499
tango_min,8,400,55,s55_n400,950.6041259765625,880.976,69.6281259765625
tango_min,8,500,55,s55_n500,1222.80029296875,1098.13,124.67029296874989
