protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s48_n500,500,0.7969774,1453.6,5009,34.76251347871866,9.642552375793457,0.18455129340443974,0.0,3.6603752600501536,2983.506598360952,7,11.898942089811861,126.23082837073424,-24.211075839978196,21.490629196166992
s49_n300,300,0.7702843333333333,904.24,2270,2.1092017822875615,8.965376472473146,0.35498329400895934,0.04,3.542489020428444,2081.9263781320647,6,6.932224129005333,12.338810553356543,-8.503835393903165,17.386306762695312
s49_n400,400,0.7840434999999999,644.226,575,-4.202901894040345,5.644930458068848,0.32097780484072735,0.1175,3.980099870331306,4237.766025555773,12,13.090710041035727,46.766406058358804,-34.82627843288864,20.294221878051758
s49_n500,500,0.8083274,1071.47,3176,-9.246028044170345,5.511586189270018,0.07105458288165935,0.0,3.0886624329762973,1256.6273525724785,0,1.7610706843209485,79.44342391462871,-85.71939618859011,23.250225067138672
s50_n300,300,0.7786893333333333,589.561,1025,-6.900302041118753,5.525341224670409,0.2292741867778732,0.03,4.024495224422844,2680.2049570632316,9,9.886274874950704,34.293281664872644,-30.52214717646724,17.910261154174805
s50_n400,400,0.801714,917.712,438,-34.29433017539415,4.89056339263916,0.520002953695834,0.5075,3.901716415603997,1885.0606025249774,3,5.587960059755045,21.581477467994894,-78.63400271529179,20.804166793823242
s50_n500,500,0.783194,985.725,6288,-0.20412541214591307,5.57001667022705,0.16863302797195076,0.0,2.2106392074789145,9870.191940227334,24,65.93890324611698,0.0,0.0,20.63209342956543
s51_n300,300,0.7967430000000001,512.896,1370,-4.304082822560623,5.500900459289549,0.3974631356161595,0.16666666666666666,3.4688826161532735,1592.8724716675397,5,5.766123699413691,43.89795966277217,-38.17768529922064,17.421463012695312
s51_n400,400,0.793487,896.103,5655,-1.4206634885034077,6.205306053161621,0.06416291928790577,0.0,3.450666385527239,2570.0117771786418,6,5.4643564713230885,69.12732915584141,-54.48529589581004,21.1511287689209
s51_n500,500,0.7808557999999998,1607.43,72,-3.4130858157374853,5.25797061920166,0.46257281612316126,0.3,3.6332288596229145,2017.336190558152,5,8.672793156828304,10.25779755432188,-26.216976875420833,22.850112915039062
